time,R,F,T,I
7.805000000000001,40.748510102483216,24.378192159083998,18.336973670906147,8.060496361628214
7.8100000000000005,40.74964326555574,24.376977797729555,18.334738662876525,8.062575659812751
7.815,40.750772736688575,24.375768043043134,18.332506016598852,8.064654780270997
7.82,40.75189851963938,24.37456287901309,18.3302757318128,8.066733719620519
7.825,40.75302061818776,24.37336228967928,18.32804780823902,8.068812474487624
7.83,40.754139036135264,24.372166259133035,18.32582224557915,8.070891041507354
7.835,40.75525377730539,24.370974771517165,18.32359904351581,8.072969417323488
7.84,40.756364845543594,24.36978781102597,18.321378201712594,8.075047598588542
7.845,40.75747224471727,24.368605361905235,18.3191597198141,8.07712558196377
7.8500000000000005,40.75857597871576,24.367427408452226,18.31694359744589,8.079203364119165
7.855,40.75967605145036,24.366253935015695,18.314729834214514,8.081280941733448
7.86,40.76077246685431,24.365084925995873,18.312518429707517,8.08335831149409
7.865,40.761865228882805,24.36392036584448,18.310309383493408,8.08543547009729
7.87,40.76295434151298,24.362760239064713,18.3081026951217,8.087512414247986
7.875,40.76403980874392,24.361604530211263,18.30589836412287,8.089589140659855
7.88,40.76512163459665,24.360453223890296,18.303696390008394,8.091665646055311
7.885,40.766199821981616,24.359306302180237,18.301496773552195,8.093741926793168
7.890000000000001,40.7672743718026,24.358163741502963,18.29929951815314,8.095817978447508
7.8950000000000005,40.768345288797654,24.357025525828035,18.297104623257308,8.097893797717402
7.9,40.76941257799174,24.35589163976758,18.294912087995748,8.099969381397791
7.905,40.77047624441191,24.354762067969467,18.292721911493377,8.102044726290703
7.91,40.771536293087266,24.353636795117293,18.290534092868977,8.104119829205267
7.915,40.772592729049,24.352515805930377,18.288348631235205,8.106194686957707
7.92,40.77364555733035,24.35139908516378,18.286165525698586,8.108269296371338
7.925,40.774694782966634,24.350286617608294,18.283984775359507,8.110343654276578
7.930000000000001,40.775740410995226,24.34917838809044,18.28180637931223,8.112417757510936
7.9350000000000005,40.77678244645559,24.348074381472472,18.279630336644882,8.114491602919017
7.94,40.77782089438924,24.346974582652372,18.27745664643946,8.116565187352522
7.945,40.77885575983976,24.345878976563856,18.27528530777184,8.118638507670248
7.95,40.7798870478528,24.344787548176377,18.27311631971174,8.120711560738087
7.955,40.7809147634761,24.343700282495114,18.270949681322776,8.122784343429029
7.96,40.78193891175943,24.342617164560973,18.268785391662412,8.124856852623154
7.965,40.78295949775467,24.3415381794506,18.266623449781992,8.126929085207646
7.97,40.78397652651573,24.34046331227637,18.264463854726728,8.129001038076778
7.9750000000000005,40.78499000309862,24.339392548186385,18.262306605535688,8.131072708131919
7.98,40.78599993256139,24.33832587236449,18.260151701241828,8.133144092281537
7.985,40.78700631996418,24.337263270030245,18.25799914087196,8.135215187441196
7.99,40.78800917036918,24.336204726438957,18.255848923446763,8.137285990533549
7.995,40.789008488840665,24.33515022688166,18.25370104798079,8.139356498488352
8.0,40.790004280444975,24.33409975668511,18.25155551348247,8.141426708242454
8.005,40.790996550250505,24.33305330121181,18.24941231895408,8.143496616739798
8.01,40.79198530332772,24.332010845859983,18.247271463391787,8.145566220931427
8.015,40.79297054474918,24.330972376063592,18.245132945785613,8.147635517775473
8.02,40.793952279589476,24.329937877292323,18.242996765119454,8.14970450423717
8.025,40.79493051292529,24.3289073350516,18.240862920371075,8.151773177288845
8.03,40.79590524983536,24.327880734882577,18.23873141051211,8.153841533909919
8.035,40.796876495400504,24.326858062362138,18.23660223450805,8.155909571086912
8.040000000000001,40.7978442547036,24.3258393031029,18.234475391318277,8.157977285813438
8.045,40.7988085328296,24.324824442753208,18.232350879896025,8.160044675090205
8.05,40.7997693348655,24.323813466997148,18.230228699188395,8.162111735925022
8.055,40.80072666590041,24.32280636155453,18.228108848136372,8.164178465332784
8.06,40.80168053102547,24.321803112180895,18.22599132567479,8.166244860335492
8.065,40.802630935333895,24.32080370466752,18.22387613073237,8.168310917962238
8.07,40.80357788392099,24.31980812484141,18.22176326223169,8.170376635249207
8.075,40.804521381884086,24.3188163585653,18.219652719089197,8.172442009239687
8.08,40.80546143432262,24.317828391737663,18.21754450021521,8.174507036984052
8.085,40.806398046338096,24.316844210292704,18.215438604513924,8.17657171553978
8.09,40.807331223034055,24.315863800200347,18.213335030883385,8.17863604197144
8.095,40.808260969516134,24.314887147466262,18.211233778215522,8.1807000133507
8.1,40.809187290892034,24.313914238131844,18.209134845396125,8.182763626756318
8.105,40.81011019227151,24.31294505827422,18.20703823130486,8.184826879274155
8.11,40.81102967876639,24.31197959400625,18.204943934815255,8.186889767997162
8.115,40.811945755490584,24.311017831476523,18.202851954794703,8.188952290025389
8.120000000000001,40.812858427560066,24.310059756869364,18.200762290104482,8.19101444246598
8.125,40.81376770009285,24.30910535640482,18.19867493959972,8.193076222433172
8.13,40.81467357820907,24.308154616338687,18.19658990212942,8.195137627048304
8.135,40.815576067030875,24.307207522962475,18.194507176536465,8.197198653439804
8.14,40.81647517168252,24.306264062603436,18.19242676165759,8.199259298743202
8.145,40.8173708972903,24.30532422162455,18.190348656323405,8.201319560101119
8.15,40.8182632489826,24.304387986424523,18.18827285935839,8.203379434663274
8.155,40.81915223188987,24.303455343437804,18.186199369580894,8.205438919586479
8.16,40.82003785114461,24.302526279134568,18.18412818580313,8.207498012034645
8.165000000000001,40.820920111881414,24.301600780020724,18.182059306831185,8.209556709178775
8.17,40.82179901923691,24.300678832637903,18.179992731465017,8.21161500819697
8.175,40.82267457834984,24.29976042356348,18.17792845849844,8.213672906274429
8.18,40.82354679436098,24.298845539410557,18.175866486719148,8.21573040060344
8.185,40.82441567241317,24.297934166827968,18.1738068149087,8.217787488383395
8.19,40.825281217651344,24.29702629250027,18.171749441842525,8.219844166820774
8.195,40.82614343522249,24.296121903147768,18.16969436628992,8.221900433129155
8.2,40.82700233027566,24.295220985526488,18.16764158701405,8.223956284529216
8.205,40.827857907961985,24.294323526428183,18.16559110277195,8.226011718248724
8.21,40.82871017343466,24.29342951268035,18.16354291231451,8.228066731522546
