time,D
2.595,12.598836926696983
2.6,12.599032176708684
2.605,12.59922737337671
2.61,12.599422516713757
2.615,12.599617606732515
2.62,12.599812643445677
2.625,12.600007626865933
2.63,12.600202557005971
2.6350000000000002,12.600397433878477
2.64,12.600592257496137
2.645,12.600787027871629
2.65,12.600981745017638
2.6550000000000002,12.601176408946841
2.66,12.601371019671914
2.665,12.601565577205536
2.67,12.601760081560379
2.6750000000000003,12.601954532749112
2.68,12.602148930784407
2.685,12.602343275678935
2.69,12.602537567445358
2.695,12.602731806096344
2.7,12.602925991644552
2.705,12.603120124102647
2.71,12.603314203483286
2.715,12.603508229799127
2.72,12.603702203062825
2.725,12.603896123287036
2.73,12.60408999048441
2.735,12.604283804667597
2.74,12.604477565849248
2.745,12.604671274042008
2.75,12.604864929258522
2.755,12.605058531511432
2.7600000000000002,12.605252080813381
2.765,12.605445577177008
2.77,12.605639020614952
2.775,12.605832411139847
2.7800000000000002,12.606025748764328
2.785,12.606219033501027
2.79,12.606412265362577
2.795,12.606605444361602
2.8000000000000003,12.606798570510733
2.805,12.606991643822596
2.81,12.607184664309809
2.815,12.607377631984999
2.82,12.607570546860785
2.825,12.607763408949783
2.83,12.60795621826461
2.835,12.608148974817881
2.84,12.608341678622208
2.845,12.608534329690203
2.85,12.608726928034475
2.855,12.60891947366763
2.86,12.609111966602276
2.865,12.609304406851013
2.87,12.609496794426446
2.875,12.609689129341174
2.88,12.609881411607796
2.8850000000000002,12.610073641238909
2.89,12.610265818247106
2.895,12.610457942644981
2.9,12.610650014445126
2.9050000000000002,12.610842033660129
2.91,12.611034000302578
2.915,12.61122591438506
2.92,12.611417775920156
2.9250000000000003,12.611609584920451
2.93,12.611801341398527
2.935,12.611993045366958
2.94,12.612184696838325
2.945,12.612376295825202
2.95,12.61256784234016
2.955,12.612759336395774
2.96,12.612950778004612
2.965,12.613142167179241
2.97,12.613333503932228
2.975,12.613524788276138
2.98,12.613716020223533
2.985,12.613907199786974
2.99,12.61409832697902
2.995,12.614289401812227
3.0,12.614480424299153
3.005,12.61467139445235
3.0100000000000002,12.61486231228437
3.015,12.615053177807761
3.02,12.615243991035074
3.025,12.615434751978855
3.0300000000000002,12.615625460651648
3.035,12.615816117065995
3.04,12.61600672123444
3.045,12.616197273169519
3.0500000000000003,12.61638777288377
3.055,12.616578220389732
3.06,12.616768615699936
3.065,12.616958958826915
3.0700000000000003,12.617149249783198
3.075,12.617339488581315
3.08,12.617529675233792
3.085,12.617719809753154
3.09,12.617909892151927
3.095,12.618099922442628
3.1,12.618289900637778
3.105,12.618479826749896
3.11,12.618669700791497
3.115,12.618859522775095
3.12,12.619049292713203
3.125,12.619239010618333
3.13,12.619428676502991
3.1350000000000002,12.619618290379686
3.14,12.619807852260921
3.145,12.619997362159204
3.15,12.620186820087032
3.1550000000000002,12.620376226056909
3.16,12.620565580081328
3.165,12.62075488217279
3.17,12.620944132343787
3.1750000000000003,12.621133330606813
3.18,12.621322476974358
3.185,12.621511571458912
3.19,12.621700614072962
3.1950000000000003,12.621889604828993
3.2,12.62207854373949
3.205,12.622267430816933
3.21,12.622456266073804
3.215,12.622645049522582
3.22,12.622833781175743
3.225,12.62302246104576
3.23,12.623211089145107
3.235,12.623399665486257
3.24,12.623588190081678
3.245,12.623776662943836
3.25,12.623965084085201
3.255,12.624153453518234
3.2600000000000002,12.624341771255397
3.265,12.624530037309153
3.27,12.62471825169196
3.275,12.624906414416271
3.2800000000000002,12.625094525494546
3.285,12.625282584939239
3.29,12.625470592762797
3.295,12.625658548977672
3.3000000000000003,12.625846453596312
3.305,12.626034306631164
3.31,12.626222108094671
3.315,12.626409857999276
3.3200000000000003,12.62659755635742
3.325,12.626785203181543
3.33,12.626972798484081
3.335,12.627160342277469
3.34,12.627347834574142
3.345,12.627535275386531
3.35,12.627722664727065
3.355,12.627910002608175
3.36,12.628097289042286
3.365,12.628284524041822
3.37,12.628471707619209
3.375,12.628658839786864
3.38,12.628845920557207
3.3850000000000002,12.629032949942658
3.39,12.629219927955631
3.395,12.629406854608542
3.4,12.629593729913799
3.4050000000000002,12.629780553883817
3.41,12.629967326531002
3.415,12.63015404786776
3.42,12.630340717906499
3.4250000000000003,12.630527336659618
3.43,12.630713904139524
3.435,12.630900420358612
3.44,12.631086885329282
3.4450000000000003,12.631273299063928
3.45,12.631459661574947
3.455,12.63164597287473
3.46,12.631832232975668
3.465,12.63201844189015
3.47,12.632204599630562
3.475,12.632390706209291
3.48,12.63257676163872
3.485,12.63276276593123
3.49,12.6329487190992
3.495,12.633134621155012
3.5,12.633320472111038
3.505,12.633506271979655
3.5100000000000002,12.633692020773235
3.515,12.63387771850415
3.52,12.634063365184769
3.525,12.634248960827458
3.5300000000000002,12.634434505444583
3.535,12.634619999048509
3.54,12.634805441651597
3.545,12.634990833266206
3.5500000000000003,12.635176173904698
3.555,12.635361463579427
