time,P,Z,L,B
5.0,5.018904802148787,36.55261534065463,33.52294140180106,37.851749056710595
5.005,5.0122063559432375,36.519767425990096,33.526019660306176,37.86489228524315
5.01,5.0055333486389095,36.4869524669651,33.52909112658143,37.87800048979342
5.015,4.9988856835804345,36.45417051456535,33.53215581975601,37.89107369942732
5.0200000000000005,4.9922632645061285,36.421421619305484,33.535213758904455,37.90411194336558
5.025,4.985665995547999,36.38870583122917,33.53826496304666,37.917115250983755
5.03,4.979093781231734,36.35602319990899,33.541309451147846,37.93008365181222
5.035,4.972546526476713,36.32337377444652,33.54434724211859,37.94301717553616
5.04,4.966024136595999,36.29075760347232,33.54737835481481,37.955915851995606
5.045,4.959526517296343,36.25817473514591,33.55040280803777,37.96877971118536
5.05,4.953053574678182,36.22562521715576,33.55342062053407,37.9816087832551
5.055,4.946605215235639,36.19310909671935,33.55643181099567,37.994403098509274
5.0600000000000005,4.940181345856525,36.160626420583085,33.55943639805986,38.00716268740718
5.065,4.933781873822337,36.128177235022406,33.562434400309286,38.01988758056292
5.07,4.927406706808258,36.09576158584166,33.56542583627193,38.03257780874543
5.075,4.921055752883159,36.06337951837419,33.56841072442112,38.045233402878445
5.08,4.914728920509596,36.031031077482325,33.571389083175525,38.05785439404054
5.085,4.908426118543812,35.99871630755734,33.574360930899175,38.0704408134651
5.09,4.902147256235737,35.966435252519496,33.57732628590143,38.082992692540316
5.095,4.895892243228987,35.934187955818025,33.58028516643699,38.09551006280922
5.1000000000000005,4.8896609895608645,35.90197446043111,33.58323759070591,38.10799295596966
5.105,4.883453405662361,35.86979480886595,33.58618357685359,38.12044140387428
5.11,4.877269402358151,35.83764904315866,33.58912314297078,38.132855438530584
5.115,4.871108890866598,35.80553720487436,33.59205630709354,38.145235092100855
5.12,4.864971782799751,35.77345933510714,33.59498308720332,38.15758039690222
5.125,4.858857990163345,35.74141547448005,33.59790350122689,38.16989138540661
5.13,4.852767425356803,35.709405663145105,33.60081756703636,38.182168090240786
5.135,4.846700001173234,35.67742994078331,33.603725302449206,38.19441054418633
5.14,4.840655630799434,35.64548834660463,33.60662672522823,38.206618780179646
5.1450000000000005,4.834634227815883,35.613580919348,33.60952185308159,38.21879283131193
5.15,4.828635706196752,35.58170769728134,33.612410703662775,38.230932730829224
5.155,4.822659980309896,35.549868718201516,33.61529329457063,38.24303851213239
5.16,4.816706964916857,35.518064019434384,33.61816964334933,38.25511020877709
5.165,4.810776575172862,35.48629363783477,33.621039767488426,38.267147854473826
5.17,4.804868726626827,35.45455760978646,33.62390368442278,38.27915148308791
5.175,4.798983335221354,35.42285597120222,33.626761411532605,38.29112112863946
5.18,4.79312031729273,35.391188757523786,33.62961296614348,38.30305682530344
5.1850000000000005,4.78727958957093,35.359556003721856,33.63245836552631,38.31495860740962
5.19,4.781461069179615,35.32795774429612,33.63529762689734,38.32682650944258
5.195,4.775664673636135,35.29639401327522,33.638130767418176,38.33866056604174
5.2,4.769890320851522,35.26486484421677,33.64095780419575,38.350460812001316
5.205,4.764137929130499,35.23337027020736,33.64377875428235,38.362227282270354
5.21,4.758407417171472,35.201910323862556,33.64659363467562,38.373960011952725
5.215,4.752698704066535,35.170485037326884,33.64940246231852,38.38565903630712
5.22,4.747011709301471,35.13909444227385,33.65220525409937,38.39732439074703
5.2250000000000005,4.741346352755745,35.10773856990592,33.65500202685185,38.4089561108408
5.23,4.735702554702511,35.07641745095455,33.65779279735495,38.420554232311545
5.235,4.730080235808612,35.04513111568015,33.66057758233303,38.43211879103725
5.24,4.7244793171345725,35.013879593872105,33.6633563984558,38.443649823050684
5.245,4.7188997201346075,34.982662914848774,33.66612926233828,38.45514736453945
5.25,4.713341366656617,34.95148110745748,33.66889619054088,38.46661145184597
5.255,4.707804178942187,34.920334200074535,33.6716571995693,38.47804212146749
5.26,4.702288079626591,34.88922222060519,33.674412305874654,38.48943941005605
5.265,4.69679299173879,34.858145196483704,33.677161525853336,38.50080335441855
5.2700000000000005,4.691318838701429,34.827103154673274,33.679904875847114,38.51213399151667
5.275,4.685865544330842,34.796096121666096,33.6826423721431,38.52343135846694
5.28,4.680433032837049,34.76512412348332,33.685374030973755,38.53469549254068
5.285,4.675021228823757,34.73418718567507,33.688099868516865,38.545926431164055
5.29,4.669630057288357,34.703285333320444,33.690819900895576,38.55712421191804
5.295,4.66425944362193,34.6724185910275,33.693534144178386,38.56828887253842
5.3,4.65890931360924,34.64158698293329,33.69624261437911,38.57942045091581
5.305,4.653579593428741,34.61079053270381,33.69894532745693,38.59051898509565
5.3100000000000005,4.648270209652571,34.580029263534044,33.701642299316376,38.60158451327819
