time,V,R,C,M
4.805,29.750771939506745,53.41152425066881,46.106096628644494,29.355373553968167
4.8100000000000005,29.71004071348901,53.38489313937446,46.11463383302807,29.3733305413555
4.815,29.669382113182838,53.35825268340632,46.12311691376275,29.391268990097455
4.82,29.62879607903787,53.33160300182018,46.13154599955204,29.409188866644907
4.825,29.588282550749305,53.30494421341429,46.13992121932572,29.42709013758123
4.83,29.547841467257904,53.27827643672941,46.14824270223989,29.444972769622286
4.835,29.507472766749956,53.251599790048814,46.1565105776769,29.462836729616427
4.84,29.467176440195225,53.22491439167952,46.164724947938154,29.48068198586084
4.845,29.426952522412964,53.19822035940128,46.17288589220446,29.49850850832611
4.8500000000000005,29.386800950341605,53.171517809826,46.18099353892584,29.51631626507366
4.855,29.3467216584958,53.14480685928455,46.18904801757754,29.534105224260273
4.86,29.306714581160833,53.11808762384253,46.19704945754567,29.55187535418834
4.865,29.266779652392643,53.09136021930026,46.20499798812718,29.569626623305833
4.87,29.22691680601781,53.06462476119282,46.21289373852991,29.587359000206327
4.875,29.18712597563357,53.03788136478996,46.22073683787251,29.605072453628974
4.88,29.1474070946078,53.01113014509622,46.228527415184516,29.62276695245853
4.885,29.107760096079026,52.984371216850825,46.2362655994063,29.640442465725332
4.89,29.068184912956426,52.95760469452774,46.243951519389114,29.65809896260531
4.8950000000000005,29.028681477919807,52.930830692335654,46.251585303895034,29.67573641242
4.9,28.98924972341966,52.904049324218,46.25916708159701,29.6933547846365
4.905,28.949889581677084,52.877260703852926,46.26669698107885,29.710954048867524
4.91,28.910600984683853,52.8504649446533,46.274175130835204,29.728534174871367
4.915,28.871383864202368,52.82366215976672,46.28160165927158,29.746095132551922
4.92,28.83223815176569,52.79685246207553,46.28897669470435,29.763636891958658
4.925,28.793163778677524,52.77003596419677,46.29630036536074,29.781159423286656
4.93,28.754160676012226,52.743212778482246,46.30357279937881,29.798662696876573
4.9350000000000005,28.715228774614783,52.71638301701846,46.310794124807515,29.816146683214665
4.94,28.676368005100862,52.68954679162665,46.317964469606615,29.833611352932767
